Product ID,Category,Sub Category,Product Name,Description,Price,Rating
1043321819608,Electronics,Smartphones,All Smartphones,Despite measure ago current.,1484.39,1.9
8637940265422,Electronics,Cameras,Dinner Cameras,Bill here grow gas enough analysis.,178.44,1.1
7816184959316,Electronics,Laptops,Answer Laptops,Significant world talk term herself.,469.16,1.1
7525534192838,Home Appliances,Vacuum Cleaners,Common Vacuum Cleaners,Here writer policy news range successful simply.,841.94,3.4
3056413953768,Electronics,Laptops,Usually Laptops,Central cause seat much section investment on.,1397.79,2.1
5328710122696,Home Appliances,Microwaves,Attack Microwaves,High you more wife team activity.,208.91,1.4
1845146270486,Clothing,Accessories,Sound Accessories,Medical blood personal success.,532.72,3.9
8932528809570,Sports,Cricket,After Cricket,Upon these story film.,1946.37,1.3
0391171822783,Clothing,Accessories,Company Accessories,Month parent who up sense.,1771.48,3.3
3465787133155,Electronics,Smartphones,Against Smartphones,Network open according remain arrive attack all form.,1324.22,2.2
8347382997378,Electronics,Laptops,Surface Laptops,Couple best issue interest level rock.,1733.63,2.1
1065133387267,Clothing,Women's Wear,Cover Women's Wear,Leg themselves away space task.,743.51,3.7
1080132677362,Electronics,Cameras,Weight Cameras,Clearly able hospital unit.,1271.78,3.9
7468723430987,Home Appliances,Air Conditioners,Ask Air Conditioners,Arm once me system church whether.,762.01,3.6
1219136193992,Sports,Football,Among Football,Bank price north first end prove fire enter.,1370.81,4.1
2475107991182,Electronics,Laptops,Different Laptops,Enter value thing these hard citizen street.,1644.5,2.3
4980841241182,Clothing,Men's Wear,Clearly Men's Wear,Example decision garden reach table.,425.91,3.3
8740164005245,Clothing,Women's Wear,Color Women's Wear,Necessary into act away third tough.,1312.6,4.5
8059826204507,Books,Non-Fiction,Way Non-Fiction,Decide economic bill sister this image.,533.44,4.0
9232260256342,Sports,Tennis,Collection Tennis,Him although likely current.,1495.29,4.6
7543303654141,Books,Comics,Have Comics,Hundred wonder movie voice boy wife condition.,442.54,3.0
4019655698162,Electronics,Smartphones,We Smartphones,Couple and job mind southern rather vote.,1722.9,3.5
3561595148463,Books,Biographies,General Biographies,Recent never court professor here security.,131.74,3.4
2994680443692,Books,Biographies,Policy Biographies,Let kind degree list top somebody.,506.57,4.4
2148951343321,Electronics,Smartphones,Ago Smartphones,Each little sure.,1365.01,4.0
1769367632017,Clothing,Men's Wear,Start Men's Wear,Despite sound receive let newspaper true.,590.53,2.8
1727889579869,Clothing,Accessories,Then Accessories,Knowledge city technology late seem style everyone.,1525.11,4.7
8734714345585,Clothing,Accessories,Be Accessories,Character him check degree.,1219.9,2.5
6658760366900,Home Appliances,Vacuum Cleaners,Tough Vacuum Cleaners,Herself accept goal send table well industry.,1907.23,3.1
8937346706568,Electronics,Cameras,Shake Cameras,Subject try wonder move.,651.69,1.4
6990162720462,Clothing,Children's Wear,Generation Children's Wear,Lawyer front they everything week.,482.71,4.5
6417080531005,Electronics,Smartphones,End Smartphones,Stuff perform draw list boy.,1465.16,1.3
3745299124194,Sports,Football,Agree Football,Office traditional heart walk cup.,261.14,4.8
9314919058658,Home Appliances,Microwaves,Authority Microwaves,Positive actually information majority item gun through.,1057.71,2.7
7262849877691,Home Appliances,Vacuum Cleaners,Executive Vacuum Cleaners,System store beautiful think during let.,1511.75,1.8
9650752735456,Clothing,Footwear,Far Footwear,Red everybody act way beat result major serve.,1990.32,2.5
7770143634952,Sports,Badminton,Material Badminton,Most international second former reflect even edge.,246.4,1.3
